refcalc,nmodes,{iter,R,f,size}*nmodes,L,b,Ys,c11,e31,eps33,hs,hp,ps,pp
83,3,38,108997.953125,-4.990775674603685097,0.0078125,0.027324233374709371025,0.0052667965189399177511,66169395121.358985901,64254278990.418777466,-11.05406884980111748,1.2037736492393416204e-08,5.3768094959095170363e-05,0.0001590090934624937885,2495.7035699233892956,7026.2641564017458222
84,3,38,129708.6875,-4.5986119047482523214,0.0078125,0.031723134928719670667,0.0045745759643961558111,69793530303.423080444,66209148131.175498962,-9.9036292930243661203,1.4516563153158204465e-08,4.852644022252710829e-05,0.00016485440104727373659,2641.8844565897643406,7729.7219043619570584
85,4,38,122764.203125,-4.4947862701771015281,0.0078125,0.032296886052608900219,0.005453691409413558705,66627175405.447921753,56047347235.561973572,-10.598083049933464395,1.387379439816986918e-08,4.518520328224879016e-05,0.00014546851939543545794,2783.7430487544011157,7501.4734074130992667
86,3,40,102173.609375,-4.7661245041764370711,0.0078125,0.02742850416918681325,0.0052091186157004528562,64490394938.499847412,58533193273.578392029,-10.349794613136813481,1.441962847123370905e-08,4.8232675741069337108e-05,0.00014558016872060492298,2819.4566799930562411,7664.6583202014016933
87,3,39,109330.21875,-4.7692023217786472244,0.0078125,0.029314475639869681106,0.0050084052288478266013,70273235425.945953369,65526176875.003692627,-10.265599933464825355,1.4047132961432044873e-08,5.3283526733649676113e-05,0.00015864085816947784803,2849.0528275626957111,7317.1335091312103032
88,3,38,114284.21875,-4.7552076416006343607,0.0078125,0.028649675779812817933,0.0051588380963815553062,65441917872.262145996,61415165034.176391602,-10.925996539651414707,1.4017282143517993178e-08,4.7497421001315782074e-05,0.00015814209839941099282,2494.0470170993576176,8377.4738210730592982
89,3,39,143419.765625,-4.818029656312306841,0.0078125,0.027666381254171198284,0.0046900229487521673949,71595166093.946975708,57553747954.617134094,-10.374677407245465943,1.2208876590718923389e-08,4.6384332827937012908e-05,0.00015933279752001762138,2668.9367809514219516,8307.4565038468954299
90,3,42,99511.765625,-4.7853011395591398269,0.0078125,0.028536204614460564805,0.0053282214602586907073,68152764199.838394165,64361721206.29889679,-10.814376694715756244,1.4107148189804119942e-08,5.0564279717190327153e-05,0.00015082716712999492698,2749.3925983642193387,7490.300175298611066
91,3,38,114846.953125,-4.5750278458284086014,0.0078125,0.03148982120328108758,0.0053664137380506904407,76878057513.329223633,66157260116.309509277,-10.192922809511852478,1.3949499577963491726e-08,5.1923811797482809932e-05,0.00015450557275652212715,2708.4110687200031862,8232.02948880243639
92,3,38,131869.703125,-4.7113291186375763075,0.0078125,0.030330045468793271485,0.0051266395960127188886,63014136020.100738525,56961165757.971427917,-11.115852633936261995,1.3270302143469592939e-08,4.7587512425420580814e-05,0.00016447779608866097993,2591.96146694103345,8061.9014830966025329
93,3,38,148870.203125,-4.5615796867894733424,0.0078125,0.032053455358861691893,0.0050559627448934886876,70412275123.136245728,57465625169.577835083,-10.049548419960563805,1.2578256314437955355e-08,4.5137363141466568665e-05,0.00016163824905484833194,2838.3696135265608973,7913.0663377875771403
